scenario,label,noise_probability,adaptive_threshold,fixed_rejection_rate,adaptive_rejection_rate
Clean_Channel,NORMAL,0.0,0.26,0.0,0.0
Noise_0.05,NORMAL,0.05,0.28,0.0,0.0
Noise_0.10,NORMAL,0.1,0.3,0.0,0.0
Noise_0.15,NORMAL,0.15,0.32,0.0,0.0
Noise_0.20,NORMAL,0.2,0.34,0.45,0.0
Noise_0.25,NORMAL,0.25,0.36,1.0,0.0
Noise_0.30,NORMAL,0.3,0.38,1.0,0.0
Pauli_X,ATTACK,0.0,0.26,1.0,1.0
Pauli_Y,ATTACK,0.0,0.26,1.0,1.0
Pauli_Z,ATTACK,0.0,0.26,1.0,1.0
Entanglement_Disruption,ATTACK,0.0,0.26,1.0,1.0
Pauli_X_Noise_0.10,ATTACK,0.1,0.3,1.0,1.0
Pauli_Y_Noise_0.10,ATTACK,0.1,0.3,1.0,1.0
Pauli_Z_Noise_0.10,ATTACK,0.1,0.3,1.0,1.0
Disruption_Noise_0.10,ATTACK,0.1,0.3,1.0,1.0
