scenario,noise_type,noise_probability,attack_type,true_label,mean_mismatch,Fixed_threshold,Fixed_rejection_rate,Statistical_threshold,Statistical_rejection_rate,Percentile_threshold,Percentile_rejection_rate,Blind_Adaptive_threshold,Blind_Adaptive_rejection_rate
bit_flip_noise_0.00,bit_flip,0.0,none,0,0.0,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.25999999999999995,0.0
bit_flip_noise_0.05,bit_flip,0.05,none,0,0.10063478333333334,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.3405078266666667,0.0
bit_flip_noise_0.10,bit_flip,0.1,none,0,0.18241373333333336,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.4059309866666667,0.0
bit_flip_noise_0.15,bit_flip,0.15,none,0,0.25147293333333337,0.25999999999999995,0.0,0.24502812328319473,0.8,0.21554366666666663,1.0,0.4586262933333334,0.0
bit_flip_noise_0.20,bit_flip,0.2,none,0,0.30557457499999996,0.25999999999999995,1.0,0.24502812328319473,1.0,0.21554366666666663,1.0,0.46000000000000013,0.0
phase_flip_noise_0.00,phase_flip,0.0,none,0,0.0,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.25999999999999995,0.0
phase_flip_noise_0.05,phase_flip,0.05,none,0,0.07625326666666665,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.32100261333333335,0.0
phase_flip_noise_0.10,phase_flip,0.1,none,0,0.14204099166666664,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.3736327933333333,0.0
phase_flip_noise_0.15,phase_flip,0.15,none,0,0.19458010833333336,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.41566408666666677,0.0
phase_flip_noise_0.20,phase_flip,0.2,none,0,0.23762204999999997,0.25999999999999995,0.0,0.24502812328319473,0.05,0.21554366666666663,1.0,0.45009763999999997,0.0
bit_phase_flip_noise_0.00,bit_phase_flip,0.0,none,0,0.0,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.25999999999999995,0.0
bit_phase_flip_noise_0.05,bit_phase_flip,0.05,none,0,0.14692388333333334,0.25999999999999995,0.0,0.24502812328319473,0.0,0.21554366666666663,0.0,0.3775391066666667,0.0
bit_phase_flip_noise_0.10,bit_phase_flip,0.1,none,0,0.24761557499999998,0.25999999999999995,0.0,0.24502812328319473,0.75,0.21554366666666663,1.0,0.4574283866666667,0.0
bit_phase_flip_noise_0.15,bit_phase_flip,0.15,none,0,0.31599119166666667,0.25999999999999995,1.0,0.24502812328319473,1.0,0.21554366666666663,1.0,0.46000000000000013,0.0
bit_phase_flip_noise_0.20,bit_phase_flip,0.2,none,0,0.36336262500000005,0.25999999999999995,1.0,0.24502812328319473,1.0,0.21554366666666663,1.0,0.46000000000000013,0.0
