accuracy,precision,recall,f1_score,fpr,seed
0.8833333333333333,0.6428571428571429,0.675,0.6585365853658537,0.075,1
0.8541666666666666,0.5581395348837209,0.6,0.5783132530120482,0.095,2
0.8833333333333333,0.6363636363636364,0.7,0.6666666666666666,0.08,3
0.8708333333333333,0.6046511627906976,0.65,0.6265060240963854,0.085,4
0.85,0.5476190476190477,0.575,0.5609756097560975,0.095,5
0.875,0.625,0.625,0.625,0.075,6
0.8833333333333333,0.625,0.75,0.6818181818181818,0.09,7
0.8833333333333333,0.6428571428571429,0.675,0.6585365853658537,0.075,8
0.9041666666666667,0.7575757575757576,0.625,0.6849315068493151,0.04,9
0.8833333333333333,0.62,0.775,0.6888888888888889,0.095,10
0.8708333333333333,0.5789473684210527,0.825,0.6804123711340206,0.12,11
0.8583333333333333,0.5681818181818182,0.625,0.5952380952380952,0.095,12
0.8625,0.5660377358490566,0.75,0.6451612903225807,0.115,13
0.8791666666666667,0.627906976744186,0.675,0.6506024096385542,0.08,14
0.8958333333333334,0.6530612244897959,0.8,0.7191011235955055,0.085,15
0.8625,0.6,0.525,0.56,0.07,16
0.8916666666666667,0.6346153846153846,0.825,0.717391304347826,0.095,17
0.8666666666666667,0.58,0.725,0.6444444444444445,0.105,18
0.8666666666666667,0.5952380952380952,0.625,0.6097560975609756,0.085,19
0.8875,0.6511627906976745,0.7,0.674698795180723,0.075,20
