noise_probability,basis,match_rate,mismatch_rate,fidelity_proxy
0.0,Z,1.0,0.0,1.0
0.0,X,1.0,0.0,1.0
0.0,Y,1.0,0.0,1.0
0.01,Z,0.99707,0.00293,0.99707
0.01,X,0.978516,0.021484,0.978516
0.01,Y,0.96875,0.03125,0.96875
0.03,Z,0.993164,0.006836,0.993164
0.03,X,0.9375,0.0625,0.9375
0.03,Y,0.910156,0.089844,0.910156
0.05,Z,0.984375,0.015625,0.984375
0.05,X,0.896484,0.103516,0.896484
0.05,Y,0.879883,0.120117,0.879883
0.1,Z,0.97168,0.02832,0.97168
0.1,X,0.806641,0.193359,0.806641
0.1,Y,0.782227,0.217773,0.782227
0.15,Z,0.947266,0.052734,0.947266
0.15,X,0.767578,0.232422,0.767578
0.15,Y,0.697266,0.302734,0.697266
0.2,Z,0.943359,0.056641,0.943359
0.2,X,0.697266,0.302734,0.697266
0.2,Y,0.620117,0.379883,0.620117
