threshold,TPR,FPR,accuracy,score,TP,FP,TN,FN
0.06,1.0,0.5,0.75,0.5,4,2,2,0
0.07,1.0,0.5,0.75,0.5,4,2,2,0
0.08,1.0,0.5,0.75,0.5,4,2,2,0
0.09,1.0,0.5,0.75,0.5,4,2,2,0
0.1,1.0,0.5,0.75,0.5,4,2,2,0
0.11,1.0,0.5,0.75,0.5,4,2,2,0
0.12,1.0,0.5,0.75,0.5,4,2,2,0
0.13,1.0,0.5,0.75,0.5,4,2,2,0
0.14,1.0,0.5,0.75,0.5,4,2,2,0
0.15,1.0,0.5,0.75,0.5,4,2,2,0
0.16,1.0,0.25,0.875,0.75,4,1,3,0
0.17,1.0,0.25,0.875,0.75,4,1,3,0
0.18,1.0,0.25,0.875,0.75,4,1,3,0
0.19,1.0,0.25,0.875,0.75,4,1,3,0
0.2,1.0,0.25,0.875,0.75,4,1,3,0
0.21,1.0,0.25,0.875,0.75,4,1,3,0
0.22,1.0,0.25,0.875,0.75,4,1,3,0
0.23,1.0,0.25,0.875,0.75,4,1,3,0
0.24,1.0,0.25,0.875,0.75,4,1,3,0
0.25,1.0,0.25,0.875,0.75,4,1,3,0
0.26,1.0,0.0,1.0,1.0,4,0,4,0
0.27,1.0,0.0,1.0,1.0,4,0,4,0
0.28,1.0,0.0,1.0,1.0,4,0,4,0
0.29,1.0,0.0,1.0,1.0,4,0,4,0
0.3,1.0,0.0,1.0,1.0,4,0,4,0
0.31,1.0,0.0,1.0,1.0,4,0,4,0
0.32,1.0,0.0,1.0,1.0,4,0,4,0
0.33,1.0,0.0,1.0,1.0,4,0,4,0
0.34,0.75,0.0,0.875,0.75,3,0,4,1
0.35,0.75,0.0,0.875,0.75,3,0,4,1
0.36,0.75,0.0,0.875,0.75,3,0,4,1
0.37,0.75,0.0,0.875,0.75,3,0,4,1
0.38,0.75,0.0,0.875,0.75,3,0,4,1
0.39,0.75,0.0,0.875,0.75,3,0,4,1
0.4,0.75,0.0,0.875,0.75,3,0,4,1
0.41,0.75,0.0,0.875,0.75,3,0,4,1
0.42,0.75,0.0,0.875,0.75,3,0,4,1
0.43,0.75,0.0,0.875,0.75,3,0,4,1
0.44,0.75,0.0,0.875,0.75,3,0,4,1
0.45,0.75,0.0,0.875,0.75,3,0,4,1
0.46,0.75,0.0,0.875,0.75,3,0,4,1
0.47,0.75,0.0,0.875,0.75,3,0,4,1
0.48,0.75,0.0,0.875,0.75,3,0,4,1
0.49,0.75,0.0,0.875,0.75,3,0,4,1
0.5,0.75,0.0,0.875,0.75,3,0,4,1
