scenario,variant,label,true_noise,mean_threshold,mean_mismatch,rejection_rate
Clean_Channel,Fixed,NORMAL,0.0,0.26,0.0,0.0
Clean_Channel,Oracle_Adaptive,NORMAL,0.0,0.26,0.0,0.0
Clean_Channel,Blind_Adaptive,NORMAL,0.0,0.26,0.0,0.0
Clean_Channel,No_Noise_Estimation,NORMAL,0.0,0.26,0.0,0.0
Clean_Channel,Reduced_Adaptation,NORMAL,0.0,0.26,0.0,0.0
Noise_0.05,Fixed,NORMAL,0.05,0.26,0.077588,0.0
Noise_0.05,Oracle_Adaptive,NORMAL,0.05,0.28,0.077588,0.0
Noise_0.05,Blind_Adaptive,NORMAL,0.05,0.269883,0.077588,0.0
Noise_0.05,No_Noise_Estimation,NORMAL,0.05,0.26,0.077588,0.0
Noise_0.05,Reduced_Adaptation,NORMAL,0.05,0.263706,0.077588,0.0
Noise_0.10,Fixed,NORMAL,0.1,0.26,0.147697,0.0
Noise_0.10,Oracle_Adaptive,NORMAL,0.1,0.3,0.147697,0.0
Noise_0.10,Blind_Adaptive,NORMAL,0.1,0.280254,0.147697,0.0
Noise_0.10,No_Noise_Estimation,NORMAL,0.1,0.26,0.147697,0.0
Noise_0.10,Reduced_Adaptation,NORMAL,0.1,0.267595,0.147697,0.0
Noise_0.15,Fixed,NORMAL,0.15,0.26,0.207902,0.0
Noise_0.15,Oracle_Adaptive,NORMAL,0.15,0.32,0.207902,0.0
Noise_0.15,Blind_Adaptive,NORMAL,0.15,0.290039,0.207902,0.0
Noise_0.15,No_Noise_Estimation,NORMAL,0.15,0.26,0.207902,0.0
Noise_0.15,Reduced_Adaptation,NORMAL,0.15,0.271265,0.207902,0.0
Noise_0.20,Fixed,NORMAL,0.2,0.26,0.258643,0.45
Noise_0.20,Oracle_Adaptive,NORMAL,0.2,0.34,0.258643,0.0
Noise_0.20,Blind_Adaptive,NORMAL,0.2,0.299883,0.258643,0.0
Noise_0.20,No_Noise_Estimation,NORMAL,0.2,0.26,0.258643,0.45
Noise_0.20,Reduced_Adaptation,NORMAL,0.2,0.274956,0.258643,0.0
Noise_0.25,Fixed,NORMAL,0.25,0.26,0.303182,1.0
Noise_0.25,Oracle_Adaptive,NORMAL,0.25,0.36,0.303182,0.0
Noise_0.25,Blind_Adaptive,NORMAL,0.25,0.309941,0.303182,0.05
Noise_0.25,No_Noise_Estimation,NORMAL,0.25,0.26,0.303182,1.0
Noise_0.25,Reduced_Adaptation,NORMAL,0.25,0.278728,0.303182,1.0
Noise_0.30,Fixed,NORMAL,0.3,0.26,0.338403,1.0
Noise_0.30,Oracle_Adaptive,NORMAL,0.3,0.38,0.338403,0.0
Noise_0.30,Blind_Adaptive,NORMAL,0.3,0.321982,0.338403,1.0
Noise_0.30,No_Noise_Estimation,NORMAL,0.3,0.26,0.338403,1.0
Noise_0.30,Reduced_Adaptation,NORMAL,0.3,0.283243,0.338403,1.0
Pauli_X,Fixed,ATTACK,0.0,0.26,0.666667,1.0
Pauli_X,Oracle_Adaptive,ATTACK,0.0,0.26,0.666667,1.0
Pauli_X,Blind_Adaptive,ATTACK,0.0,0.26,0.666667,1.0
Pauli_X,No_Noise_Estimation,ATTACK,0.0,0.26,0.666667,1.0
Pauli_X,Reduced_Adaptation,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Y,Fixed,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Y,Oracle_Adaptive,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Y,Blind_Adaptive,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Y,No_Noise_Estimation,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Y,Reduced_Adaptation,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Z,Fixed,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Z,Oracle_Adaptive,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Z,Blind_Adaptive,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Z,No_Noise_Estimation,ATTACK,0.0,0.26,0.666667,1.0
Pauli_Z,Reduced_Adaptation,ATTACK,0.0,0.26,0.666667,1.0
Entanglement_Disruption,Fixed,ATTACK,0.0,0.26,0.334261,1.0
Entanglement_Disruption,Oracle_Adaptive,ATTACK,0.0,0.26,0.334261,1.0
Entanglement_Disruption,Blind_Adaptive,ATTACK,0.0,0.26,0.334261,1.0
Entanglement_Disruption,No_Noise_Estimation,ATTACK,0.0,0.26,0.334261,1.0
Entanglement_Disruption,Reduced_Adaptation,ATTACK,0.0,0.26,0.334261,1.0
Pauli_X_Noise,Fixed,ATTACK,0.1,0.26,0.589673,1.0
Pauli_X_Noise,Oracle_Adaptive,ATTACK,0.1,0.3,0.589673,1.0
Pauli_X_Noise,Blind_Adaptive,ATTACK,0.1,0.332353,0.589673,1.0
Pauli_X_Noise,No_Noise_Estimation,ATTACK,0.1,0.26,0.589673,1.0
Pauli_X_Noise,Reduced_Adaptation,ATTACK,0.1,0.287133,0.589673,1.0
Pauli_Y_Noise,Fixed,ATTACK,0.1,0.26,0.660693,1.0
Pauli_Y_Noise,Oracle_Adaptive,ATTACK,0.1,0.3,0.660693,1.0
Pauli_Y_Noise,Blind_Adaptive,ATTACK,0.1,0.344951,0.660693,1.0
Pauli_Y_Noise,No_Noise_Estimation,ATTACK,0.1,0.26,0.660693,1.0
Pauli_Y_Noise,Reduced_Adaptation,ATTACK,0.1,0.291857,0.660693,1.0
Pauli_Z_Noise,Fixed,ATTACK,0.1,0.26,0.552466,1.0
Pauli_Z_Noise,Oracle_Adaptive,ATTACK,0.1,0.3,0.552466,1.0
Pauli_Z_Noise,Blind_Adaptive,ATTACK,0.1,0.28082,0.552466,1.0
Pauli_Z_Noise,No_Noise_Estimation,ATTACK,0.1,0.26,0.552466,1.0
Pauli_Z_Noise,Reduced_Adaptation,ATTACK,0.1,0.267808,0.552466,1.0
Disruption_Noise,Fixed,ATTACK,0.1,0.26,0.440682,1.0
Disruption_Noise,Oracle_Adaptive,ATTACK,0.1,0.3,0.440682,1.0
Disruption_Noise,Blind_Adaptive,ATTACK,0.1,0.388477,0.440682,1.0
Disruption_Noise,No_Noise_Estimation,ATTACK,0.1,0.26,0.440682,1.0
Disruption_Noise,Reduced_Adaptation,ATTACK,0.1,0.308179,0.440682,1.0
