scenario,label,true_noise,estimated_noise,blind_threshold,fixed_rejection_rate,blind_rejection_rate
Clean_Channel,NORMAL,0.0,0.0,0.26,0.0,0.0
Noise_0.05,NORMAL,0.05,0.162475,0.32499,0.0,0.0
Noise_0.10,NORMAL,0.1,0.29126,0.376504,0.0,0.0
Noise_0.15,NORMAL,0.15,0.396802,0.418721,0.0,0.0
Noise_0.20,NORMAL,0.2,0.472925,0.44917,0.35,0.0
Noise_0.25,NORMAL,0.25,0.499829,0.459932,1.0,0.0
Noise_0.30,NORMAL,0.3,0.5,0.46,1.0,0.0
Pauli_X,ATTACK,0.0,0.0,0.26,1.0,1.0
Pauli_Y,ATTACK,0.0,0.0,0.26,1.0,1.0
Pauli_Z,ATTACK,0.0,0.5,0.46,1.0,1.0
Entanglement_Disruption,ATTACK,0.0,0.0,0.26,1.0,1.0
Pauli_X_Noise,ATTACK,0.1,0.0,0.26,1.0,1.0
Pauli_Y_Noise,ATTACK,0.1,0.0,0.26,1.0,1.0
Pauli_Z_Noise,ATTACK,0.1,0.5,0.46,1.0,1.0
Disruption_Noise,ATTACK,0.1,0.0,0.26,1.0,1.0
