label,noise_probability,attack_type,mean_mismatch,std_mismatch,reject_count,trials,detection_rate
NORMAL,0.0,none,0.0,0.0,0,20,0.0
NORMAL,0.02,none,0.03203125,0.0028641156782541195,0,20,0.0
NORMAL,0.05,none,0.0792807,0.0047331144870337155,0,20,0.0
NORMAL,0.08,none,0.1208334,0.005126935233081313,0,20,0.0
NORMAL,0.1,none,0.1458496,0.005985977266209667,0,20,0.0
NORMAL,0.12,none,0.17407215,0.005331965237330909,0,20,0.0
NORMAL,0.15,none,0.20909815,0.008903616824373295,0,20,0.0
NORMAL,0.18,none,0.24103185,0.008870022490180948,0,20,0.0
NORMAL,0.2,none,0.2571452,0.008191889490928143,10,20,0.5
NORMAL,0.25,none,0.3025065,0.007415546397159221,20,20,1.0
NORMAL,0.3,none,0.33977865,0.007357848979687927,20,20,1.0
ATTACK,0.0,pauli_x,0.666667,0.0,20,20,1.0
ATTACK,0.05,pauli_x,0.6220702,0.0056923928887595175,20,20,1.0
ATTACK,0.1,pauli_x,0.59096675,0.007154906854187917,20,20,1.0
ATTACK,0.0,pauli_y,0.666667,0.0,20,20,1.0
ATTACK,0.05,pauli_y,0.66455065,0.0050545273533525925,20,20,1.0
ATTACK,0.1,pauli_y,0.659196,0.007958510770502894,20,20,1.0
ATTACK,0.0,pauli_z,0.666667,0.0,20,20,1.0
ATTACK,0.05,pauli_z,0.6078288000000001,0.004888930650486176,20,20,1.0
ATTACK,0.1,pauli_z,0.5520182,0.006094968991760857,20,20,1.0
ATTACK,0.0,entanglement_disruption,0.3337077,0.008040611937304015,20,20,1.0
ATTACK,0.05,entanglement_disruption,0.39934905,0.007796375618634732,20,20,1.0
ATTACK,0.1,entanglement_disruption,0.4395346,0.01083091565065387,20,20,1.0
