metric,method,mean,std_dev,ci_lower,ci_upper
accuracy,Fixed,0.724375,0.0190372729968841,0.7154652819785093,0.7332847180214906
accuracy,Blind Adaptive,0.8316250000000001,0.0160647333589679,0.8241064733527084,0.8391435266472917
precision,Fixed,0.6865346400191357,0.0173632708619262,0.678408379113183,0.6946609009250884
precision,Blind Adaptive,0.9839694556995652,0.0060356573816046,0.9811446810927597,0.986794230306371
recall,Fixed,0.8264999999999999,0.0251887610693842,0.8147112969396588,0.838288703060341
recall,Blind Adaptive,0.67425,0.0322520909154902,0.6591555568143855,0.6893444431856145
f1_score,Fixed,0.7498762592224228,0.0173830710298923,0.7417407315526124,0.7580117868922333
f1_score,Blind Adaptive,0.799767118269514,0.0227042276779251,0.7891412126296071,0.8103930239094208
fpr,Fixed,0.37775,0.0280729782043722,0.3646114417692414,0.3908885582307586
fpr,Blind Adaptive,0.011,0.0041675437673324,0.0090495294775028,0.0129504705224971
