adaptation_factor,scenario_type,noise_type,noise_probability,attack_type,mean_mismatch,mean_threshold,outcome_count
0.0,normal,bit_flip,0.0,none,0.0,0.26,0
0.0,normal,bit_flip,0.05,none,0.105273,0.26,0
0.0,normal,bit_flip,0.1,none,0.198779,0.26,3
0.0,normal,bit_flip,0.15,none,0.242578,0.26,10
0.0,normal,bit_flip,0.2,none,0.30498,0.26,14
0.0,normal,phase_flip,0.0,none,0.0,0.26,0
0.0,normal,phase_flip,0.05,none,0.068652,0.26,0
0.0,normal,phase_flip,0.1,none,0.145557,0.26,0
0.0,normal,phase_flip,0.15,none,0.24624,0.26,15
0.0,normal,phase_flip,0.2,none,0.193848,0.26,11
0.0,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.0,normal,bit_phase_flip,0.05,none,0.157324,0.26,0
0.0,normal,bit_phase_flip,0.1,none,0.238623,0.26,13
0.0,normal,bit_phase_flip,0.15,none,0.356592,0.26,16
0.0,normal,bit_phase_flip,0.2,none,0.398975,0.26,17
0.0,normal,depolarizing,0.0,none,0.0,0.26,0
0.0,normal,depolarizing,0.05,none,0.086963,0.26,0
0.0,normal,depolarizing,0.1,none,0.17085,0.26,1
0.0,normal,depolarizing,0.15,none,0.198096,0.26,10
0.0,normal,depolarizing,0.2,none,0.283154,0.26,15
0.0,normal,readout,0.0,none,0.0,0.26,0
0.0,normal,readout,0.05,none,0.106738,0.26,0
0.0,normal,readout,0.1,none,0.212109,0.26,1
0.0,normal,readout,0.15,none,0.276172,0.26,9
0.0,normal,readout,0.2,none,0.352392,0.26,20
0.0,attack,bit_flip,0.1,pauli_x,0.580811,0.26,13
0.0,attack,bit_flip,0.1,pauli_y,0.743555,0.26,17
0.0,attack,bit_flip,0.1,pauli_z,0.631934,0.26,16
0.0,attack,bit_flip,0.1,entanglement_disruption,0.441748,0.26,20
0.0,attack,phase_flip,0.1,pauli_x,0.679101,0.26,19
0.0,attack,phase_flip,0.1,pauli_y,0.644385,0.26,12
0.0,attack,phase_flip,0.1,pauli_z,0.513672,0.26,13
0.0,attack,phase_flip,0.1,entanglement_disruption,0.400098,0.26,20
0.0,attack,bit_phase_flip,0.1,pauli_x,0.633252,0.26,20
0.0,attack,bit_phase_flip,0.1,pauli_y,0.558789,0.26,20
0.0,attack,bit_phase_flip,0.1,pauli_z,0.531152,0.26,15
0.0,attack,bit_phase_flip,0.1,entanglement_disruption,0.389697,0.26,20
