accuracy,precision,recall,f1_score,fpr,seed
0.6958333333333333,0.3263157894736842,0.775,0.45925925925925926,0.32,1
0.6916666666666667,0.3191489361702128,0.75,0.4477611940298508,0.32,2
0.7166666666666667,0.3541666666666667,0.85,0.5,0.31,3
0.675,0.2978723404255319,0.7,0.417910447761194,0.33,4
0.675,0.28888888888888886,0.65,0.39999999999999997,0.32,5
0.7208333333333333,0.3448275862068966,0.75,0.4724409448818898,0.285,6
0.7,0.3333333333333333,0.8,0.47058823529411764,0.32,7
0.7541666666666667,0.3855421686746988,0.8,0.5203252032520325,0.255,8
0.7083333333333334,0.3333333333333333,0.75,0.46153846153846156,0.3,9
0.7208333333333333,0.3516483516483517,0.8,0.4885496183206107,0.295,10
0.6875,0.3333333333333333,0.875,0.48275862068965514,0.35,11
0.6958333333333333,0.3225806451612903,0.75,0.4511278195488722,0.315,12
0.7,0.336734693877551,0.825,0.47826086956521735,0.325,13
0.7166666666666667,0.34782608695652173,0.8,0.48484848484848486,0.3,14
0.7125,0.3564356435643564,0.9,0.5106382978723404,0.325,15
0.6791666666666667,0.29213483146067415,0.65,0.4031007751937985,0.315,16
0.6833333333333333,0.330188679245283,0.875,0.4794520547945205,0.355,17
0.7208333333333333,0.3548387096774194,0.825,0.4962406015037594,0.3,18
0.7,0.3333333333333333,0.8,0.47058823529411764,0.32,19
0.7291666666666666,0.3655913978494624,0.85,0.5112781954887218,0.295,20
