scenario_type,noise_type,noise_probability,attack_type,average_mismatch,fixed_threshold,adaptive_threshold,fixed_rejections,adaptive_rejections
normal,bit_flip,0.0,none,0.0,0.26,0.25999999999999995,0,0
normal,bit_flip,0.05,none,0.10024415000000002,0.26,0.32014649,0,0
normal,bit_flip,0.1,none,0.18544909999999998,0.26,0.37126946000000005,3,0
normal,bit_flip,0.15,none,0.2529296,0.26,0.40905268,10,0
normal,bit_flip,0.2,none,0.31088865,0.26,0.42862306000000006,14,0
normal,phase_flip,0.0,none,0.0,0.26,0.25999999999999995,0,0
normal,phase_flip,0.05,none,0.07963869999999999,0.26,0.30778322,0,0
normal,phase_flip,0.1,none,0.14946285,0.26,0.34967771,0,0
normal,phase_flip,0.15,none,0.2039063,0.26,0.38234378,14,0
normal,phase_flip,0.2,none,0.24848624999999996,0.26,0.4,14,0
normal,bit_phase_flip,0.0,none,0.0,0.26,0.25999999999999995,0,0
normal,bit_phase_flip,0.05,none,0.15009755000000002,0.26,0.35005853,0,0
normal,bit_phase_flip,0.1,none,0.25727540000000004,0.26,0.41104492,14,0
normal,bit_phase_flip,0.15,none,0.32578114999999996,0.26,0.42516598000000017,14,0
normal,bit_phase_flip,0.2,none,0.36835945000000003,0.26,0.43263673000000014,16,3
normal,depolarizing,0.0,none,0.0,0.26,0.25999999999999995,0,0
normal,depolarizing,0.05,none,0.09267575000000002,0.26,0.31560545,0,0
normal,depolarizing,0.1,none,0.17402334999999997,0.26,0.36441401,0,0
normal,depolarizing,0.15,none,0.2265626,0.26,0.39438482,12,0
normal,depolarizing,0.2,none,0.26933599999999996,0.26,0.41397463000000007,14,0
normal,readout,0.0,none,0.0,0.26,0.25999999999999995,0,0
normal,readout,0.05,none,0.10805675,0.26,0.32483405,0,0
normal,readout,0.1,none,0.20795905,0.26,0.38477543000000003,2,0
normal,readout,0.15,none,0.27832039999999997,0.26,0.4267090500000001,9,0
normal,readout,0.2,none,0.34907235,0.26,0.4555273700000001,20,0
attack,bit_flip,0.1,pauli_x,0.5631347500000001,0.26,0.43309569000000003,13,13
attack,bit_flip,0.1,pauli_y,0.63525395,0.26,0.44024415,15,13
attack,bit_flip,0.1,pauli_z,0.5726562,0.26,0.41740234000000004,14,14
attack,bit_flip,0.1,entanglement_disruption,0.4421875,0.26,0.4580664100000001,20,13
attack,phase_flip,0.1,pauli_x,0.64853525,0.26,0.4453418100000001,17,13
attack,phase_flip,0.1,pauli_y,0.65063485,0.26,0.43479495,13,13
attack,phase_flip,0.1,pauli_z,0.5486816999999999,0.26,0.4,14,14
attack,phase_flip,0.1,entanglement_disruption,0.43745119999999993,0.26,0.45745117000000013,20,13
attack,bit_phase_flip,0.1,pauli_x,0.6143554499999999,0.26,0.46000000000000013,20,13
attack,bit_phase_flip,0.1,pauli_y,0.6132813000000001,0.26,0.4555566500000001,20,13
attack,bit_phase_flip,0.1,pauli_z,0.49511715,0.26,0.41596681,14,14
attack,bit_phase_flip,0.1,entanglement_disruption,0.43281244999999996,0.26,0.4557226300000001,20,13
attack,depolarizing,0.1,pauli_x,0.6092286500000001,0.26,0.43836915000000004,13,13
attack,depolarizing,0.1,pauli_y,0.6528809499999999,0.26,0.4396289400000001,13,13
attack,depolarizing,0.1,pauli_z,0.5637695999999999,0.26,0.40996098999999997,14,14
attack,depolarizing,0.1,entanglement_disruption,0.42944335,0.26,0.45140625000000006,19,13
attack,readout,0.1,pauli_x,0.5674804499999999,0.26,0.42624021,13,13
attack,readout,0.1,pauli_y,0.6173829499999999,0.26,0.4408301400000001,15,13
attack,readout,0.1,pauli_z,0.6074219,0.26,0.4333984300000001,14,14
attack,readout,0.1,entanglement_disruption,0.4124999,0.26,0.44097654000000003,13,13
