noise_model,condition,noise_probability,attack_type,rejected,trials,rejection_rate,detection_rate,false_positive_rate
bit_flip,NORMAL,0.0,none,0,20,0.0,0.0,0.0
bit_flip,NORMAL,0.05,none,0,20,0.0,0.0,0.0
bit_flip,NORMAL,0.1,none,0,20,0.0,0.0,0.0
bit_flip,NORMAL,0.15,none,0,20,0.0,0.0,0.0
bit_flip,NORMAL,0.2,none,9,20,0.45,0.0,0.45
bit_flip,ATTACK,0.0,pauli_x,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.05,pauli_x,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.1,pauli_x,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.0,pauli_y,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.05,pauli_y,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.1,pauli_y,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.0,pauli_z,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.05,pauli_z,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.1,pauli_z,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.0,entanglement_disruption,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.05,entanglement_disruption,20,20,1.0,1.0,0.0
bit_flip,ATTACK,0.1,entanglement_disruption,20,20,1.0,1.0,0.0
phase_flip,NORMAL,0.0,none,0,20,0.0,0.0,0.0
phase_flip,NORMAL,0.05,none,0,20,0.0,0.0,0.0
phase_flip,NORMAL,0.1,none,0,20,0.0,0.0,0.0
phase_flip,NORMAL,0.15,none,0,20,0.0,0.0,0.0
phase_flip,NORMAL,0.2,none,0,20,0.0,0.0,0.0
phase_flip,ATTACK,0.0,pauli_x,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.05,pauli_x,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.1,pauli_x,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.0,pauli_y,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.05,pauli_y,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.1,pauli_y,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.0,pauli_z,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.05,pauli_z,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.1,pauli_z,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.0,entanglement_disruption,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.05,entanglement_disruption,20,20,1.0,1.0,0.0
phase_flip,ATTACK,0.1,entanglement_disruption,20,20,1.0,1.0,0.0
bit_phase_flip,NORMAL,0.0,none,0,20,0.0,0.0,0.0
bit_phase_flip,NORMAL,0.05,none,0,20,0.0,0.0,0.0
bit_phase_flip,NORMAL,0.1,none,0,20,0.0,0.0,0.0
bit_phase_flip,NORMAL,0.15,none,20,20,1.0,0.0,1.0
bit_phase_flip,NORMAL,0.2,none,20,20,1.0,0.0,1.0
bit_phase_flip,ATTACK,0.0,pauli_x,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.05,pauli_x,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.1,pauli_x,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.0,pauli_y,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.05,pauli_y,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.1,pauli_y,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.0,pauli_z,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.05,pauli_z,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.1,pauli_z,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.0,entanglement_disruption,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.05,entanglement_disruption,20,20,1.0,1.0,0.0
bit_phase_flip,ATTACK,0.1,entanglement_disruption,20,20,1.0,1.0,0.0
depolarizing,NORMAL,0.0,none,0,20,0.0,0.0,0.0
depolarizing,NORMAL,0.05,none,0,20,0.0,0.0,0.0
depolarizing,NORMAL,0.1,none,0,20,0.0,0.0,0.0
depolarizing,NORMAL,0.15,none,0,20,0.0,0.0,0.0
depolarizing,NORMAL,0.2,none,0,20,0.0,0.0,0.0
depolarizing,ATTACK,0.0,pauli_x,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.05,pauli_x,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.1,pauli_x,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.0,pauli_y,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.05,pauli_y,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.1,pauli_y,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.0,pauli_z,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.05,pauli_z,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.1,pauli_z,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.0,entanglement_disruption,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.05,entanglement_disruption,20,20,1.0,1.0,0.0
depolarizing,ATTACK,0.1,entanglement_disruption,20,20,1.0,1.0,0.0
readout,NORMAL,0.0,none,0,20,0.0,0.0,0.0
readout,NORMAL,0.05,none,0,20,0.0,0.0,0.0
readout,NORMAL,0.1,none,0,20,0.0,0.0,0.0
readout,NORMAL,0.15,none,20,20,1.0,0.0,1.0
readout,NORMAL,0.2,none,20,20,1.0,0.0,1.0
readout,ATTACK,0.0,pauli_x,20,20,1.0,1.0,0.0
readout,ATTACK,0.05,pauli_x,20,20,1.0,1.0,0.0
readout,ATTACK,0.1,pauli_x,20,20,1.0,1.0,0.0
readout,ATTACK,0.0,pauli_y,20,20,1.0,1.0,0.0
readout,ATTACK,0.05,pauli_y,20,20,1.0,1.0,0.0
readout,ATTACK,0.1,pauli_y,20,20,1.0,1.0,0.0
readout,ATTACK,0.0,pauli_z,20,20,1.0,1.0,0.0
readout,ATTACK,0.05,pauli_z,20,20,1.0,1.0,0.0
readout,ATTACK,0.1,pauli_z,20,20,1.0,1.0,0.0
readout,ATTACK,0.0,entanglement_disruption,20,20,1.0,1.0,0.0
readout,ATTACK,0.05,entanglement_disruption,20,20,1.0,1.0,0.0
readout,ATTACK,0.1,entanglement_disruption,20,20,1.0,1.0,0.0
