noise_probability,basis,trials,mean_fidelity,std_fidelity,min_fidelity,max_fidelity,mean_mismatch
0.0,Z,20,1.0,0.0,1.0,1.0,0.0
0.0,X,20,1.0,0.0,1.0,1.0,0.0
0.0,Y,20,1.0,0.0,1.0,1.0,0.0
0.01,Z,20,0.99751,0.001468,0.995117,0.999023,0.00249
0.01,X,20,0.978125,0.005794,0.967773,0.987305,0.021875
0.01,Y,20,0.974121,0.004662,0.961914,0.982422,0.025879
0.03,Z,20,0.993457,0.002373,0.988281,0.99707,0.006543
0.03,X,20,0.938135,0.007526,0.924805,0.954102,0.061865
0.03,Y,20,0.922168,0.006424,0.910156,0.93457,0.077832
0.05,Z,20,0.987451,0.003235,0.980469,0.992188,0.012549
0.05,X,20,0.896338,0.007526,0.886719,0.912109,0.103662
0.05,Y,20,0.877051,0.007335,0.852539,0.885742,0.122949
0.1,Z,20,0.976172,0.005191,0.966797,0.985352,0.023828
0.1,X,20,0.818262,0.011611,0.791016,0.839844,0.181738
0.1,Y,20,0.779883,0.012252,0.755859,0.800781,0.220117
0.15,Z,20,0.962598,0.005561,0.952148,0.973633,0.037402
0.15,X,20,0.737354,0.012004,0.711914,0.761719,0.262646
0.15,Y,20,0.706445,0.009834,0.681641,0.71875,0.293555
0.2,Z,20,0.947852,0.008006,0.927734,0.961914,0.052148
0.2,X,20,0.67998,0.01711,0.638672,0.709961,0.32002
0.2,Y,20,0.648584,0.015555,0.619141,0.682617,0.351416
