seed,method,accuracy,precision,recall,f1_score,fpr
1,Fixed,0.72,0.6818181818181818,0.825,0.7466063348416287,0.385
1,Blind Adaptive,0.8175,0.9774436090225563,0.65,0.7807807807807808,0.015
2,Fixed,0.7225,0.6861924686192469,0.82,0.7471526195899773,0.375
2,Blind Adaptive,0.835,0.9855072463768116,0.68,0.804733727810651,0.01
3,Fixed,0.7525,0.7112970711297071,0.85,0.7744874715261959,0.345
3,Blind Adaptive,0.8425,0.9790209790209791,0.7,0.8163265306122449,0.015
4,Fixed,0.73,0.6965811965811965,0.815,0.7511520737327188,0.355
4,Blind Adaptive,0.8375,0.9927007299270073,0.68,0.8071216617210683,0.005
5,Fixed,0.7225,0.6861924686192469,0.82,0.7471526195899773,0.375
5,Blind Adaptive,0.835,0.9855072463768116,0.68,0.804733727810651,0.01
6,Fixed,0.7325,0.7012987012987013,0.81,0.751740139211137,0.345
6,Blind Adaptive,0.8225,0.9923664122137404,0.65,0.7854984894259819,0.005
7,Fixed,0.73,0.6965811965811965,0.815,0.7511520737327188,0.355
7,Blind Adaptive,0.82,0.9705882352941176,0.66,0.7857142857142857,0.02
8,Fixed,0.7475,0.7142857142857143,0.825,0.7656612529002321,0.33
8,Blind Adaptive,0.8475,0.9793103448275862,0.71,0.8231884057971014,0.015
9,Fixed,0.7625,0.7178423236514523,0.865,0.7845804988662132,0.34
9,Blind Adaptive,0.8425,0.9928057553956835,0.69,0.8141592920353982,0.005
10,Fixed,0.7275,0.6887966804979253,0.83,0.7528344671201814,0.375
10,Blind Adaptive,0.825,0.9779411764705882,0.665,0.7916666666666666,0.015
11,Fixed,0.6975,0.6724890829694323,0.77,0.7179487179487181,0.375
11,Blind Adaptive,0.8,0.9761904761904762,0.615,0.754601226993865,0.015
12,Fixed,0.7375,0.6938775510204082,0.85,0.7640449438202247,0.375
12,Blind Adaptive,0.85,0.9861111111111112,0.71,0.8255813953488371,0.01
13,Fixed,0.7025,0.6694560669456067,0.8,0.7289293849658314,0.395
13,Blind Adaptive,0.82,0.9848484848484849,0.65,0.7831325301204819,0.01
14,Fixed,0.735,0.6895161290322581,0.855,0.7633928571428572,0.385
14,Blind Adaptive,0.8525,0.9862068965517241,0.715,0.8289855072463769,0.01
15,Fixed,0.73,0.6825396825396826,0.86,0.7610619469026547,0.4
15,Blind Adaptive,0.8675,0.9803921568627451,0.75,0.8498583569405098,0.015
16,Fixed,0.6925,0.6610878661087866,0.79,0.7198177676537584,0.405
16,Blind Adaptive,0.82,0.9848484848484849,0.65,0.7831325301204819,0.01
17,Fixed,0.69,0.6507936507936508,0.82,0.7256637168141592,0.44
17,Blind Adaptive,0.815,0.9846153846153847,0.64,0.7757575757575756,0.01
18,Fixed,0.71,0.6735537190082644,0.815,0.7375565610859728,0.395
18,Blind Adaptive,0.8225,0.9849624060150376,0.655,0.7867867867867868,0.01
19,Fixed,0.725,0.6859504132231405,0.83,0.751131221719457,0.38
19,Blind Adaptive,0.82,0.9923076923076923,0.645,0.7818181818181819,0.005
20,Fixed,0.72,0.6705426356589147,0.865,0.7554585152838428,0.425
20,Blind Adaptive,0.84,0.9857142857142858,0.69,0.8117647058823529,0.01
