scenario_type,noise_type,noise_probability,attack_type,trial,mismatch_rate,threshold,threshold_capped,attack_detected,correct,max_threshold
normal,bit_flip,0.0,none,1,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,2,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,3,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,4,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,5,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,6,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,7,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,8,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,9,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,10,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,11,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,12,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,13,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,14,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,15,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,16,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,17,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,18,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,19,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.0,none,20,0.0,0.26,False,False,True,0.28
normal,bit_flip,0.05,none,1,0.154297,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,2,0.022461,0.2689844,False,False,True,0.28
normal,bit_flip,0.05,none,3,0.148438,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,4,0.088867,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,5,0.020508,0.26820320000000003,False,False,True,0.28
normal,bit_flip,0.05,none,6,0.129883,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,7,0.143555,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,8,0.162109,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,9,0.111328,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,10,0.115234,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,11,0.146484,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,12,0.085938,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,13,0.110352,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,14,0.158203,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,15,0.032227,0.2728908,False,False,True,0.28
normal,bit_flip,0.05,none,16,0.143555,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,17,0.139648,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,18,0.03125,0.2725,False,False,True,0.28
normal,bit_flip,0.05,none,19,0.149414,0.28,True,False,True,0.28
normal,bit_flip,0.05,none,20,0.029297,0.27171880000000004,False,False,True,0.28
normal,bit_flip,0.1,none,1,0.055664,0.28,True,False,True,0.28
normal,bit_flip,0.1,none,2,0.283203,0.28,True,True,False,0.28
