"Trial","Attack","MismatchRate","SecurityScore","Decision","AttackDetected"
"1","none","0.410156","0.289699","NORMAL","False"
"2","none","0.383789","0.2718","NORMAL","False"
"3","none","0.398438","0.279982","NORMAL","False"
"4","none","0.405273","0.285691","NORMAL","False"
"5","none","0.381836","0.27699","NORMAL","False"
"6","none","0.367188","0.261234","NORMAL","False"
"7","none","0.404297","0.286386","NORMAL","False"
"8","none","0.400391","0.282296","NORMAL","False"
"9","none","0.389648","0.277389","NORMAL","False"
"10","none","0.399414","0.285435","NORMAL","False"
"11","none","0.414062","0.29505","NORMAL","False"
"12","none","0.380859","0.267858","NORMAL","False"
"13","none","0.425781","0.302073","NORMAL","False"
"14","none","0.393555","0.284268","NORMAL","False"
"15","none","0.376953","0.265873","NORMAL","False"
"16","none","0.407227","0.289357","NORMAL","False"
"17","none","0.373047","0.264154","NORMAL","False"
"18","none","0.413086","0.292496","NORMAL","False"
"19","none","0.392578","0.279538","NORMAL","False"
"20","none","0.40625","0.287166","NORMAL","False"
"1","pauli_z","0.604492","0.428624","ATTACK","True"
"2","pauli_z","0.603516","0.42803","ATTACK","True"
"3","pauli_z","0.585938","0.412336","ATTACK","True"
"4","pauli_z","0.597656","0.42233","ATTACK","True"
"5","pauli_z","0.602539","0.423986","ATTACK","True"
"6","pauli_z","0.597656","0.421934","ATTACK","True"
"7","pauli_z","0.592773","0.420348","ATTACK","True"
"8","pauli_z","0.591797","0.418465","ATTACK","True"
"9","pauli_z","0.613281","0.434176","ATTACK","True"
"10","pauli_z","0.604492","0.426147","ATTACK","True"
"11","pauli_z","0.595703","0.419579","ATTACK","True"
"12","pauli_z","0.59082","0.417908","ATTACK","True"
"13","pauli_z","0.612305","0.43141","ATTACK","True"
"14","pauli_z","0.608398","0.430044","ATTACK","True"
"15","pauli_z","0.607422","0.431452","ATTACK","True"
"16","pauli_z","0.62207","0.444526","ATTACK","True"
"17","pauli_z","0.597656","0.422539","ATTACK","True"
"18","pauli_z","0.594727","0.419289","ATTACK","True"
"19","pauli_z","0.62793","0.443298","ATTACK","True"
"20","pauli_z","0.626953","0.439585","ATTACK","True"
